benchmark,monitor,repetition,time,status
f06_NOT_P_x_UNTIL_0_10_Q_x__e3399600,monpoly,0,3.0,timeout
f07_P_x_AND_x_0__e234300,staticmon,0,0.23785,ok
f07_P_x_AND_x_0__e234300,staticmon,1,0.04169,ok
f07_P_x_AND_x_0__e234300,monpoly,0,0.0748,ok
f07_P_x_AND_x_0__e234300,monpoly,1,0.07355,ok
f07_P_x_AND_x_0__e468750,staticmon,0,0.07252,ok
f07_P_x_AND_x_0__e468750,staticmon,1,0.07743,ok
f07_P_x_AND_x_0__e468750,monpoly,0,0.13052,ok
f07_P_x_AND_x_0__e468750,monpoly,1,0.13234,ok
f07_P_x_AND_x_0__e937500,staticmon,0,0.13119,ok
f07_P_x_AND_x_0__e937500,staticmon,1,0.12386,ok
f07_P_x_AND_x_0__e937500,monpoly,0,0.24189,ok
f07_P_x_AND_x_0__e937500,monpoly,1,0.23525,ok
f07_P_x_AND_x_0__e1875000,staticmon,0,0.24228,ok
f07_P_x_AND_x_0__e1875000,staticmon,1,0.23182,ok
f07_P_x_AND_x_0__e1875000,monpoly,0,0.44999,ok
f07_P_x_AND_x_0__e1875000,monpoly,1,0.45004,ok
f07_P_x_AND_x_0__e3750000,staticmon,0,0.45112,ok
f07_P_x_AND_x_0__e3750000,staticmon,1,0.45663,ok
f07_P_x_AND_x_0__e3750000,monpoly,0,0.88335,ok
f07_P_x_AND_x_0__e3750000,monpoly,1,0.88567,ok
f08_P_x_AND_y_x__e234300,staticmon,0,0.23952,ok
f08_P_x_AND_y_x__e234300,staticmon,1,0.07656,ok
f08_P_x_AND_y_x__e234300,monpoly,0,0.1316,ok
f08_P_x_AND_y_x__e234300,monpoly,1,0.13155,ok
f08_P_x_AND_y_x__e468750,staticmon,0,0.0759,ok
f08_P_x_AND_y_x__e468750,staticmon,1,0.07578,ok
f08_P_x_AND_y_x__e468750,monpoly,0,0.17774,ok
f08_P_x_AND_y_x__e468750,monpoly,1,0.1795,ok
f08_P_x_AND_y_x__e937500,staticmon,0,0.18589,ok
f08_P_x_AND_y_x__e937500,staticmon,1,0.17686,ok
f08_P_x_AND_y_x__e937500,monpoly,0,0.2942,ok
f08_P_x_AND_y_x__e937500,monpoly,1,0.34457,ok
f08_P_x_AND_y_x__e1875000,staticmon,0,0.28886,ok
f08_P_x_AND_y_x__e1875000,staticmon,1,0.29161,ok
f08_P_x_AND_y_x__e1875000,monpoly,0,0.55831,ok
f08_P_x_AND_y_x__e1875000,monpoly,1,0.56505,ok
f08_P_x_AND_y_x__e3750000,staticmon,0,0.55722,ok
f08_P_x_AND_y_x__e3750000,staticmon,1,0.56755,ok
f08_P_x_AND_y_x__e3750000,monpoly,0,1.14908,ok
f08_P_x_AND_y_x__e3750000,monpoly,1,1.15833,ok
f09_LET_u_x_P_x_IN_u_x__e234300,staticmon,0,0.23934,ok
f09_LET_u_x_P_x_IN_u_x__e234300,staticmon,1,0.07832,ok
f09_LET_u_x_P_x_IN_u_x__e234300,monpoly,0,0.07258,ok
f09_LET_u_x_P_x_IN_u_x__e234300,monpoly,1,0.07549,ok
f09_LET_u_x_P_x_IN_u_x__e468750,staticmon,0,0.07679,ok
f09_LET_u_x_P_x_IN_u_x__e468750,staticmon,1,0.07535,ok
f09_LET_u_x_P_x_IN_u_x__e468750,monpoly,0,0.12589,ok
f09_LET_u_x_P_x_IN_u_x__e468750,monpoly,1,0.12919,ok
f09_LET_u_x_P_x_IN_u_x__e937500,staticmon,0,0.18171,ok
f09_LET_u_x_P_x_IN_u_x__e937500,staticmon,1,0.18222,ok
f09_LET_u_x_P_x_IN_u_x__e937500,monpoly,0,0.28981,ok
f09_LET_u_x_P_x_IN_u_x__e937500,monpoly,1,0.28617,ok
f09_LET_u_x_P_x_IN_u_x__e1875000,staticmon,0,0.29298,ok
f09_LET_u_x_P_x_IN_u_x__e1875000,staticmon,1,0.28776,ok
f09_LET_u_x_P_x_IN_u_x__e1875000,monpoly,0,0.50005,ok
f09_LET_u_x_P_x_IN_u_x__e1875000,monpoly,1,0.50632,ok
f09_LET_u_x_P_x_IN_u_x__e3750000,staticmon,0,0.56256,ok
f09_LET_u_x_P_x_IN_u_x__e3750000,staticmon,1,0.55948,ok
f09_LET_u_x_P_x_IN_u_x__e3750000,monpoly,0,0.98836,ok
f09_LET_u_x_P_x_IN_u_x__e3750000,monpoly,1,1.00433,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e26850,staticmon,0,0.13201,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e26850,staticmon,1,0.12826,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e53850,staticmon,0,0.29527,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e53850,staticmon,1,0.29748,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e107850,staticmon,0,0.78753,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e107850,staticmon,1,0.76664,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e215700,staticmon,0,1.80123,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e215700,staticmon,1,1.79765,ok
f10_LETPAST_u_x_P_x_OR_PREV_0_u___e431400,staticmon,0,3.0,timeout
f11_r_CNT_x_P_x__e234300,staticmon,0,0.23356,ok
f11_r_CNT_x_P_x__e234300,staticmon,1,0.07504,ok
f11_r_CNT_x_P_x__e234300,monpoly,0,0.07544,ok
